Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office,BechdelRating
415,2016,Trolls,"$343,242,613","$153,707,064","$189,535,549",3
416,2013,Now You See Me,"$342,769,200","$117,723,989","$225,045,211",1
417,2008,Wanted,"$342,416,460","$134,508,551","$207,907,909",1
418,1977,Close Encounters of the Third Kind,"$340,800,479","$169,100,479","$171,700,000",1
419,2007,Enchanted,"$340,384,141","$127,706,877","$212,677,264",3
420,1997,Tomorrow Never Dies,"$339,504,276","$125,304,276","$214,200,000",1
421,1995,Batman Forever,"$336,529,144","$184,031,112","$152,498,032",1
424,1995,Apollo 13,"$335,802,271","$173,772,767","$162,029,504",3
425,2016,Star Trek Beyond,"$335,673,708","$158,848,340","$176,825,368",1
426,2018,A Quiet Place,"$334,876,670","$188,024,361","$146,852,309",3
430,2005,Fantastic Four,"$333,132,750","$154,696,080","$178,436,670",1
431,1984,Indiana Jones and the Temple of Doom,"$333,080,271","$179,880,271","$153,200,000",0
432,1989,Back to the Future Part II,"$331,971,881","$118,450,002","$213,521,879",3
434,2004,National Treasure,"$331,323,410","$173,005,002","$158,318,408",2
435,2010,Black Swan,"$331,266,710","$106,954,678","$224,312,032",3
436,2014,300: Rise of an Empire,"$330,780,051","$106,580,051","$224,200,000",1
437,2000,Meet the Parents,"$330,425,040","$166,225,040","$164,200,000",2
440,2016,Now You See Me 2,"$328,325,007","$65,075,540","$263,249,467",1
441,1986,Crocodile Dundee,"$328,203,506","$174,803,506","$153,400,000",3
442,1995,Se7en,"$328,125,643","$100,125,643","$228,000,000",1
443,2008,Bolt,"$328,015,029","$114,053,579","$213,961,450",3
449,2010,Robin Hood,"$322,459,006","$105,487,148","$216,971,858",3
451,2010,Megamind,"$321,887,208","$148,415,853","$173,471,355",0
452,1987,Fatal Attraction,"$320,100,000","$156,645,693","$163,454,307",3
453,2018,Green Book,"$320,029,388","$85,080,171","$234,949,217",1
456,2012,Journey 2: The Mysterious Island,"$318,146,162","$103,860,290","$214,285,872",1
458,2001,A Beautiful Mind,"$317,668,058","$170,708,996","$146,959,062",1
459,2009,Inglourious Basterds,"$316,915,264","$120,774,594","$196,140,670",3
460,1984,Beverly Hills Cop,"$316,300,000","$234,760,478","$81,539,522",0
462,1997,Air Force One,"$315,268,353","$172,956,409","$142,311,944",1
464,1997,As Good as it Gets,"$314,111,923","$148,478,011","$165,633,912",3
465,2016,Resident Evil: The Final Chapter,"$314,101,190","$26,844,692","$287,256,498",3
466,2012,Battleship,"$313,477,717","$65,233,400","$248,244,317",1
467,2019,Knives Out,"$312,952,178","$165,364,060","$147,588,118",3
468,2017,Wonder,"$312,755,215","$132,422,809","$180,332,406",3
468,2017,Wonder,"$312,755,215","$132,422,809","$180,332,406",3,3
468,2017,Wonder,"$312,755,215","$132,422,809","$180,332,406",3,3,3
468,2017,Wonder,"$312,755,215","$132,422,809","$180,332,406",3,3,3,3
470,1999,Austin Powers: The Spy Who Shagged Me,"$312,383,487","$206,040,085","$106,343,402",1
472,2007,Ocean's Thirteen,"$311,744,465","$117,144,465","$194,600,000",1
477,2015,Maze Runner: The Scorch Trials,"$310,566,162","$81,697,192","$228,868,970",3
479,1999,Runaway Bride,"$310,138,178","$152,257,509","$157,880,669",1
480,2005,Chicken Little,"$310,043,823","$135,386,665","$174,657,158",1
485,2012,Rise of the Guardians,"$306,900,902","$103,412,758","$203,488,144",1
486,2002,Chicago,"$306,770,545","$170,687,518","$136,083,027",3
488,2017,Annabelle: Creation,"$305,384,865","$102,092,201","$203,292,664",3
489,2012,Wrath of the Titans,"$305,270,083","$83,670,083","$221,600,000",1
490,2016,Dangal,"$305,149,461","$12,391,761","$292,757,700",3
491,2020,Sonic The Hedgehog,"$304,961,681","$146,066,470","$158,895,211",3
493,2013,A Good Day to Die Hard,"$304,249,198","$67,349,198","$236,900,000",1
494,1996,101 Dalmatians,"$304,200,000","$136,189,294","$168,010,706",3
495,1998,Mulan,"$303,500,000","$120,620,254","$182,879,746",3
496,1997,Liar Liar,"$302,710,615","$181,410,615","$121,300,000",1
497,2009,G.I. Joe: The Rise of Cobra,"$302,469,017","$150,201,498","$152,267,519",1
498,2016,Passengers,"$302,239,672","$100,014,699","$202,224,973",0
